time,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,left_encoder,right_encoder,left_speed,right_speed
0.032,63.661986392768526,69.72902373751984,63.764686564764126,68.31835944115898,61.33395877391072,66.76852741590989,71.48557095442982,69.98390175304829,601.02112,644.12704,1.57,1.57
0.064,67.79212422639874,68.71471178911493,71.72911516248047,70.27284207699638,65.12323371561816,70.23625733432512,69.9682797330093,67.0684301241127,601.07136,644.17728,1.57,1.57
0.096,69.65102445933502,66.59716278911816,62.72145560694713,66.81719804950698,67.91515692747836,69.74630043932844,65.80231044871363,65.04791981242943,601.1216,644.22752,1.57,1.57
0.128,62.822918280007435,67.04181261225409,64.97159379863234,67.4289619275618,64.47864997406009,63.38677652571192,68.08024756492544,70.8050159716955,601.17184,644.27776,1.57,1.57
0.16,72.76020843703861,68.85290062479334,63.73115423201242,66.48059923421282,66.5327113795977,64.20646442918029,74.82776379635463,64.9405119371097,601.22208,644.328,1.57,1.57
0.192,66.83767316804558,60.77796243616181,57.39907490458216,68.63013710310624,58.89512668185592,69.27001688675018,71.09819316326478,59.88680879021298,601.27232,644.37824,1.57,1.57
0.224,67.05578931199047,72.75844863056024,71.89432167303846,65.89048608150355,61.55329742905028,67.64144326000265,67.55304238632345,64.9923054327153,601.32256,644.42848,1.57,1.57
0.256,71.16212433205023,66.8273302930709,67.12673896939106,66.32599338023135,65.57367933306284,54.66788724248961,64.85075973104982,72.53495022642717,601.3728,644.47872,1.57,1.57
0.28800000000000003,70.14256897284444,69.06712798467719,61.35353119302679,69.8331272980764,65.33383297651572,64.64161959475977,71.60147956838499,68.78820378143172,601.42304,644.52896,1.57,1.57
0.32,63.284387955928416,63.42266960946911,74.12034531958615,68.4568694730388,66.61464121437402,70.78224464206129,68.14640803173114,63.746205481911275,601.47328,644.5792,1.57,1.57
0.352,68.09786643640629,69.4194044118152,69.67955265263906,65.876334691924,73.48717565907434,65.62216648323336,66.45167333172259,66.56417159222529,601.52352,644.62944,1.57,1.57
0.384,68.15500764082111,66.60973873555463,60.3387528670366,64.81628776062458,67.73475469462775,66.99590158750681,67.1129761903214,73.45421843247843,601.57376,644.67968,1.57,1.57
0.41600000000000004,66.61884897556057,68.6791909262602,62.182255119418606,61.45962502793987,67.8788553899973,72.35805931929366,67.5776076592859,68.48916154555997,601.624,644.72992,1.57,1.57
0.448,69.8089163927495,65.16600472560347,66.02356361090541,71.23676795223558,65.37089541997756,70.9666572520742,70.7336362441394,69.76329198996213,601.67424,644.78016,1.57,1.57
0.48,67.51036077066911,67.67297929552656,69.29532875800695,62.06946648486711,66.30708791724884,68.28440776068838,71.3196517196158,65.36160816712817,601.72448,644.8304,1.57,1.57
0.512,72.05570758177198,73.65669671443409,67.12451686069434,63.063389288891486,63.23479131612567,62.727858419068184,67.62864513043988,63.58387453688988,601.77472,644.88064,1.57,1.57
0.544,61.20973534693474,66.10801796624938,69.33403643362249,67.37587211248999,65.98725132236257,69.81161686957132,70.83771848343014,67.34719874909506,601.82496,644.93088,1.57,1.57
0.5760000000000001,62.09980496563806,67.02902438839966,63.97857443854257,62.7770968956903,67.2133859354629,69.30811227741329,67.90401761869366,67.00608341256661,601.8752,644.98112,1.57,1.57
0.608,67.68560293462238,68.84568910579472,67.93551449444392,68.93266534337046,60.30423657014282,66.03006092252974,66.10870635596162,64.65618201947163,601.92544,645.03136,1.57,1.57
0.64,63.67526268489749,66.65255882211127,65.77056237111917,69.24433567175825,65.75628917288054,69.95946624903753,66.85984260952141,70.41759489663002,601.97568,645.0816,1.57,1.57
